part_no,Part name,slno,section name,total electors,total part votes
149,"MunicipalElementarySchool-ChandragiriAttur-636141,TerracedBuildingFacingEastNorthWing",2,"2-Attur(M),Ward3,ThagoorStreet 448",937,483
150,"MunicipalElementarySchool-ChandragiriAttur-636141,TerracedBuildingFacingWestNorthWing",1,"1-Attur(M),Ward3,NarayanapuramKattukottaigal 1",710,116
150,"MunicipalElementarySchool-ChandragiriAttur-636141,TerracedBuildingFacingWestNorthWing",2,"2-Attur(M),Ward3,Chandragiri 118",710,594
151,"MunicipalElementarySchool-ChandragiriAttur-636141,TerracedBuildingFacingWestSouthwing",1,"1-Attur(M),Ward4,MullaivadiPudhiyaColony 1",873,873
152,"MunicipalElementarySchool-ChandragiriAttur-636141,TerracedBuildingFacingEastSouthwing",1,"1-Attur(M),Ward4,MullaivadiColony 1",722,306
152,"MunicipalElementarySchool-ChandragiriAttur-636141,TerracedBuildingFacingEastSouthwing",2,"2-Attur(M),Ward3,ChandragiriRoad 299",722,416
153,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedBuildingFacingSouthEastWing",1,"1-Attur(M),Ward5,NorthPavendharStreet 1",1039,195
153,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedBuildingFacingSouthEastWing",2,"2-Attur(M),Ward5,PalaniNariyappanStreet 196",1039,116
153,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedBuildingFacingSouthEastWing",3,"3-Attur(M),Ward5,KeelPavendharStreet 311",1039,45
153,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedBuildingFacingSouthEastWing",4,"4-Attur(M),Ward5,KambanStreet 356",1039,308
153,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedBuildingFacingSouthEastWing",5,"5-Attur(M),Ward5,RanganNagar 652",1039,280
153,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedBuildingFacingSouthEastWing",6,"6-Attur(M),Ward5,KallanathamRoad 923",1039,95
154,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedWestBuildingFacingEastNorthWing",1,"1-Attur(M),Ward6,ElangoStreet 1",719,464
154,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedWestBuildingFacingEastNorthWing",2,"2-Attur(M),Ward6,MelpariStreet 456",719,104
154,"MunicipalMiddleSchool-VenkatasamySt.Mullaivadi-636141,TerracedWestBuildingFacingEastNorthWing",3,"3-Attur(M),Ward6,RamasamyAdaikkalamStreet 566",719,151
155,"MunicipalMiddleSchool,VengatasamyStreet,Mullaivadi,Attur-636141TerracedNorthernEastSideBuildingFacingSouthWestWing",1,"1-Attur(M),Ward5,KuppusamyStreet 1",483,277
155,"MunicipalMiddleSchool,VengatasamyStreet,Mullaivadi,Attur-636141TerracedNorthernEastSideBuildingFacingSouthWestWing",2,"2-Attur(M),Ward5,PerumalStreet 267",483,105
